Questions,Answers
An adult in my life seems ill and won??€?t find help. What can I do?,"It??€?s difficult when an adult child, sibling, parent, friend, co-worker, or other important person is struggling or behaving in ways that are causing harm. This can be a tricky situation??€?you want to help, but most adults are responsible for their own care. 
 There are two important points to think about. First, diagnosing a health condition, especially when symptom-checking is so easy online, can be dangerous. Diagnosis is still always best left to professionals who can look at the whole picture. Remember, too, that the person you care about may have a very different idea of what??€?s causing their difficulties and what the negative impacts are on their life. Second, except in rare cases, the person being treated needs to be an active player in their own recovery to continue with their treatment, just as they would for any other health problem. If the vast majority of cases, you cannot do this work entirely for them??€?and trying to do so may damage your relationship. 
 Be honest about your concerns, the impacts you are seeing that worry you, listen to their point of view and work together to find a solution that works for everyone, even if it means a compromise. You may want to offer to go with them to an appointment, encourage them to do an online screening self-test, or involve someone else close to them who may be similarly concerned and may have more influence in encouraging them to notice changes and seek help. Because you may be feeling frustrated and helpless, it??€?s important to get care and support for yourself during this time, especially if you??€?re very close to the person you??€?re worried about. 
 In serious situations, the BC Mental Health Act allows someone to be held for a period of time for psychiatric assessment without their consent if they are at risk of harming themselves or others. While it??€?s necessary in some situations to get someone the care they need, it can be traumatic for everyone involved. For more on the BC Mental Health Act, see the Guide to the Mental Health Act."
I??€?m worried about my child or teenager. Where can I find help?,"It can be hard to figure out what to do if you??€?re concerned about a young person in your family. Many people start by talking with their family doctor. If you don??€?t have a family doctor, you can find a doctor through the College of Physicians and Surgeons of BC. You can also visit a walk-in clinic. Depending on the situation, your family doctor may offer everything you need. If your child needs more specialized services, such as psychiatry services, your family doctor needs to make a referral for your child. Many family doctors can also recommend community services or supports in your community. Learn more about the role of family doctors in the info sheet What to Expect from Your Family or Walk-In Clinic Doctor. 
 If your child??€?s difficulties affect their performance or behaviour at school, the school may be involved. If your child??€?s school has a counsellor, talk to them about services you can access through the school. School counsellors can also suggest community services. See the info sheet What to Expect from Your Child's School. 
 Kelty Mental Health Resource Centre offers information, resources, peer support, and system navigation to children, youth, and families experiencing mental health or substance use challenges. Their Help Finder tool and help you navigate the mental health system. Kelty Mental Health is based at BC Children??€?s Hospital in Vancouver, but they support young people and their families across the province. 
 Institute of Families for Child and Youth Mental Health advocates for healthy young people and family support. They offer resources and education events across BC. 
 The Canadian Mental Health Association??€?s BC Division offers Confident Parents: Thriving Kids, a phone-based education and support program to help parents or caregivers manage mild to moderate behaviour problems for children ages 3 to 12. This program is free, but it requires a doctor??€?s referral. 
 You may also want to check out these resources from HeretoHelp on child and youth mental health and substance use:"
Someone I care about has a brain injury. Where can I find more information?,"A brain injury itself isn??€?t the same as a mental illness, though someone who experiences a brain injury may also experience mental health problems. These mental health problems may stem from the injury itself or from thoughts around the injury (like feelings of loss, anger, or frustration when quality of life changes). In some cases, mental health challenges may not be related to a brain injury at all. The good news is that mental health problems are treatable, even if you or someone you care about has experienced a brain injury. It may be helpful to find a service provider who is familiar with both brain injuries and mental health. 
 For more information and support, visit the BC Brain Injury Association. You can also find local and regional groups and organizations in BC through the Brain Injury Association of Canada."
Someone I love has been diagnosed with depression. How can I help?,"We naturally want to help a loved one who isn??€?t feeling well. How we can or should help may seem fairly obvious when a loved one experiences a physical health problem, but many people say they??€?re not sure how to best help when a loved one experiences a mental illness like depression. Here are some tips: 
 You don??€?t have to understand exactly what someone else is experiencing, you just need to recognize that it??€?s a difficult experience. You can try something like, ??€?I can see that this experience or these symptoms are really painful for you,??€? or, ??€?I??€?m sorry to hear that you??€?re feeling unwell.??€? If you have experienced depression yourself, you might say, ??€?I know how you feel.??€? Just remember that everyone experiences illnesses like depression differently, and empathy is about recognizing the impact of the illness, not comparing symptoms. 
 You don??€?t have to be an expert, but learning more about depression can help you understand what??€?s going on (and maybe dispel some of the unhelpful myths around depression). Our Depression info sheet is a great place to start, and we have a list of resources at Q&A: Where can I learn more about depression? 
 Sometimes talking about problems or concerns can really help??€?in fact, many people who experience a mood disorder say that they just want to be heard. It??€?s important to understand that talking about something difficult like experiences of depression can be very hard for your loved one. You cannot force them to talk about it, but you can invite them to, and create safe and quiet spaces to talk. If a loved one opens up to you, listen actively??€?that is, without distractions like your phone or the TV. Really pay attention to what they have to say. Listen with empathy and without judgement. Even if you don??€?t understand the problem or see the problem in a different way, your main concern is the distress or difficult feelings your loved one is experiencing. You can find in-depth tips on listening and communicating well in Module Three of the Family Toolkit. Some people are not ready to talk about everything at once, or at all. That??€?s okay! Respect your loved one??€?s boundaries and let them tell you what they??€?re ready to talk about. 
 Even when you have the best intentions, unsolicited advice can be unhelpful. You likely can??€?t fix the problem, and you may not know the whole story. If you??€?d like to share what worked for you in a similar situation, you can ask if the other person would like to talk about strategies that worked for you. 
 Different people need different things??€?don??€?t assume you know what??€?s best! Some people need emotional help, like someone they can talk with. Other people may have a good relationship with a counsellor or other professional, but they might need practical help, like help around the house or help sticking to their treatment plan. And others may simply want to be included in some social events. By asking what a person needs, you may also be less tempted to give advice. 
 When people experience an episode of depression, they can have a lot of very negative thoughts and feelings. This can take a real toll on others. It??€?s a good idea to seek support for yourself??€?there are support groups just for family members and friends. The BC Schizophrenia Society has a directory of family support groups around BC for any mental illness. 
 If your loved one isn??€?t happy with their treatment or would like to try a different option, you can also help them seek different resources or services. You can find general advice in the Ask Us section of HeretoHelp. To find local services, call the BC Mental Health Support Line at 310-6789 (no area code) or email us. 
 This is very important! You are not responsible for your loved one??€?s treatment (unless your loved one is your child under 19)??€?but you can support them as they work towards recovery. In most cases, your loved one??€?s treatment and recovery plans are their choice??€?you are there to offer support and encouragement. 
 In order for any treatment to work, your loved one needs to be actively involved. Forcing or threatening treatment generally doesn??€?t work and will only hurt everyone involved. In most cases, anyone 19 years of age and older is free to make their own choices. And their choices may include refusing treatment or choosing a treatment you disagree with. It??€?s important to be respectful and keep honest communication open between you. You can learn more about dealing with this situation in Ask Us: An adult in my life seems ill and won??€?t find help. What can I do? 
 If your loved one says that they have thoughts of ending their life, it??€?s important to take action. Call 1-800-SUICIDE (1-800-784-2433) at any time or message online at www.crisiscentrechat.ca between noon and 1am. If you think your loved one is in immediate danger, you can always call 911 or go to a hospital emergency room."
Someone I love has been diagnosed with schizophrenia. How can I help?,"We naturally want to help a loved one who isn??€?t feeling well. How we can or should help may seem fairly obvious when a loved one experiences a physical health problem, but many people say they??€?re not sure how to best help when a loved one experiences a mental illness like schizophrenia. Here are some tips: 
 You don??€?t have to be an expert in schizophrenia, but learning more can help you understand what??€?s going on. There are a lot of myths about schizophrenia, so it??€?s a good idea to find some trustworthy resources. Our Schizophrenia info sheet is a great place to start. You can also find a lot of information from the BC Schizophrenia Society. 
 Sometimes talking about problems or concerns can really help. It??€?s important to understand that talking about something difficult like experiences of schizophrenia can be very hard for your loved one??€?and the symptoms of schizophrenia can also make conversations difficult. If a loved one opens up to you, listen actively??€?that is, without distractions like your phone or the TV. Really pay attention to what they have to say. Give them time to finish their thoughts, even if it takes a bit longer than usual. Listen with empathy and without judgement. Even if you don??€?t understand the problem or you see the problem in a different way, your main concern is the distress or difficult feelings your loved one is experiencing. You can find in-depth tips on listening and communicating well in Module Three of the Family Toolkit. Some people are not ready to talk about everything at once, or at all. That??€?s okay! Respect your loved one??€?s boundaries and let them tell you when they??€?re ready to talk. 
 Symptoms of schizophrenia like hallucinations (sensations that aren??€?t real, like hearing voices) or delusions (beliefs that can??€?t be true, like believing that you are being followed by a spy) can take some time to stop even when people are receiving treatment and following their treatment plan. As a group, these very distressing symptoms are called psychosis. Many people have a hard time responding to a loved one??€?s hallucinations or delusions. It??€?s best to avoid arguing about these experiences. Remember that delusion are symptoms of schizophrenia??€?they are not thoughts that you can talk someone out of. Telling someone that their experiences aren??€?t real or aren??€?t true doesn??€?t help when the experiences feel very real to that person! A better approach is to empathize with the feelings that hallucinations or delusions bring up??€?without confirming or denying the hallucination or delusion. For example, if a loved one is frustrated or upset when they hear voices, it isn??€?t helpful to say something like, ??€?You??€?re okay! It isn??€?t real. I don??€?t hear anything.??€? Instead, you might say, ??€?I can only image how upsetting that voice must be. I can see the voice makes you feel scared.??€? Know that with good treatment and support, symptoms like hallucinations and delusions become much easier for people to manage and lose importance. 
 Ask how you can help. When people experience a serious mental illness like schizophrenia, they may want to plan how they can take action if they start to feel unwell again, especially if they have dependent children. These plans, such as advanced directives or Ulysses Agreements, are made when a person feels well and are meant to communicate their wishes to loved ones and their care team. Ask your loved one if they have a plan in place so you know what they need if they need help. If you??€?d like to learn more about planning for care, see the BC Schizophrenia Society. 
 If a loved one is experiencing an episode of psychosis or is recovering for an episode of psychosis, they might need extra help. For example, people who are actively experiencing hallucinations or delusions might need a lot of personal space and feel uncomfortable being around a lot of people or even making eye contact. When people are recovering from an episode of psychosis, they may need a quiet space and a lot of rest. Sometimes people can get back into their usual routines fairly quickly, while other times it may take a lot of time (and effort) to get back into routines. Keep in mind that too much help can be a bit counterproductive. It may well be faster and easier for you to take care of your loved one??€?s tasks or chores yourself, but rebuilding activity and confidence are a big part of recovery. Encourage and support your loved one as they take on daily responsibilities, and let them tell you when they need extra help. 
 Schizophrenia can be a difficult illness??€?for everyone. During episodes of psychosis, your loved one may experience frightening sensations that you can??€?t understand. They may act in ways that you don??€?t understand. Other symptoms of schizophrenia can make it hard for people to express emotions or feelings, communicate clearly, or seem interested in others. It??€?s important to know that these are symptoms of an illness. They are no one??€?s fault, but they can still be hard to cope with. Consider reaching out to a family and friends support group for your own support. The BC Schizophrenia Society has a directory of groups around BC at www.bcss.org/monthly-meetings-calendar/. 
 As a family member, it??€?s important to take care of yourself. Try to maintain your regular schedule and activities, such as your exercise routine and hobbies. Ask another family member or good friend to provide help with caregiving, especially in the early days of your loved one's illness. If you need help balancing time for self-care with caregiving duties, check out the BC Schizophrenia Society??€?s Family Respite Program. 
 Try to maintain your friendships or the network of people that you have in your life. These will later become important supports as your loved one recovers. Educate them and update them on your loved one's recovery. People are sometimes afraid to ask questions about schizophrenia and this will put them at ease. 
 This is very important! You are not responsible for your loved one??€?s treatment (unless your loved one is your child under 19), but you can support them. Schizophrenia can make it difficult for people to make and go to appointments and follow their treatment plan. With your loved one??€?s permission, you may choose to help by reminding them of appointments, taking them to appointments, or whatever helps in your situation. If your loved one isn??€?t happy with their treatment or would like to try a new approach, you can encourage them to talk with their care team, like their doctor or mental health team??€?it can be dangerous to stop or change a treatment without a doctor??€?s support. 
 Treatment can be a difficult area for loved ones. It??€?s hard to see someone you love in pain. You might be scared of the things your loved one is experiencing. You want to help. But in order for any treatment to work, your loved one needs to be active in their care. Forcing or threatening treatment generally doesn??€?t work (or if it does, in the case of an emergency, only for a short time) and can often hurt everyone involved. In most cases, anyone 19 years of age and older and not at risk of harm is free to make their own choices. And their choices may include refusing treatment or choosing a treatment that you disagree with. It helps everyone if you can be respectful and keep honest communication open between you. You can learn more about dealing with this situation in Q&A: An adult in my life seems ill and won??€?t find help. What can I do?. 
 If you think your loved one is at risk of harming themselves or others and they refuse help, it is possible to have them evaluated by a psychiatrist under the Mental Health Act. This process may involve police and other first responders, and it can be a difficult and stressful process for everyone. But it can also be a necessary step if someone is in danger. You can learn more about the Mental Health Act in the info sheet Families Coping with a Crisis and you can find the Guide to the Mental Health Act at www.health.gov.bc.ca/library/publications/year/2005/MentalHealthGuide.pdf. For a more in-depth discussion of the Mental Health Act, see a video with lawyer and health law consultation Gerrit Clements. 
 If your loved one says that they have thoughts of ending their life, it??€?s important to take action. Call 1-800-SUICIDE (1-800-784-2433) at any time or message online at www.crisiscentrechat.ca between noon and 1am. If you think your loved one is in immediate danger, you can always call 911 or go to a hospital emergency room."
I??€?m a young person and one of my parents has a mental illness. What can I do?,"Someone else??€?s illness is not your fault. You also can??€?t control how someone else feels, their illness, or the things they do or say. What you can do is take care of yourself. 
 Learning more about your parent??€?s illness can make it a bit easier to understand what they experience. On this website, you can find easy-to-read booklets on mental illnesses as well as longer info sheets on many different mental illnesses. You can also find information for young people from the Centre for Addiction and Mental Health. 
 It??€?s important to take care of yourself, too! A lot of people have a big mix of feelings when a parent isn??€?t well. You might feel angry, embarrassed, scared, or many other things. These feelings and experiences can have a big impact on the way your think about yourself and other people. When you??€?re on an airplane and the flight attendants go through the safety demonstration, they tell you to put your own oxygen mask on before your help other people. That??€?s because it??€?s hard to help someone else if you aren??€?t well yourself. Here are some programs specifically for young people: 
 Kids in Control Support Group Program from the BC Schizophrenia Society helps children and youth ages 8-18 understand mental illnesses, cope with challenges, and take care of their own health and well-being. If Kids in Control is not currently available at your local branch, your branch can order materials so you can work through them on your own. 
 Super Saturday Club from CMHA Vancouver-Fraser is a free recreation group for children and youth ages 8-17 who have a parent that experiences a mental illness. To learn more, visit www.vancouver-fraser.cmha.bc.ca. 
 If you??€?re having trouble coping with something going on at home, ask for some help! Here are some places you can go: 
 A teacher or counsellor at school 
 An adult you trust, like a friend??€?s parent or another family member 
 Kids Help Phone: visit www.kidshelpphone.ca to learn about taking care of yourself and chat with a counsellor, or call 1-800-668-6868 to talk with a counsellor 
 YouthinBC: Visit www.youthinbc.com to chat with a trained volunteer (noon-1.00am Pacific Time) 
 BC Mental Health Support Line: If you ever need to talk to someone or you??€?d like to see what kind of resources are in your community, call 310-6789 (no area code) at any time"
"I have thoughts of suicide, or someone I care about is talking about suicide. What should I do?","If you need to talk to someone or you aren??€?t sure how to help someone you care about, call 1-800-SUICIDE (1-800-784-2433) at any time. Or type your concern using live chat (like texting online) at www.crisiscentrechat.ca between noon and 1am. They can help you, and they can suggest good local resources. If you??€?re at risk of harm or think someone else is in danger and you need help right now, call 911. 
 It??€?s scary to have thoughts of suicide or hear that someone you can care about has thoughts of suicide. Thoughts of suicide don??€?t mean that someone will end their life, but it??€?s a sign that they need extra help or support. If you have thoughts of suicide, it??€?s important to talk with your doctor or mental health service provider. If you??€?re supporting someone else, encourage them to seek help. 
 Coping With Suicidal Thoughts is a good resource to help you understand and manage difficult feelings. 
 Our info sheet on suicide has information on suicide, helping someone else, and finding help. What is Suicide? is a booklet with audio in plain language for lower literacy readers. 
 The Centre for Suicide Prevention has many resource toolkits on suicide for different audiences, including people serving in the military, young people, teens, older adults, Aboriginal community members, and LGBT community members."
"Cannabis is legally allowed to 19+ but there are doctor groups saying it??€?s potentially harmful to age 25. Any use or certain use? What??€?s myth and what??€?s fact? If I??€?m a parent, what should I tell my young adult?","Using cannabis has the potential for benefits and harms. Young people use cannabis, like other psychoactive drugs, to feel good, to feel better, to do better or to explore. Trying cannabis out of curiosity, as an experiment, or while socializing with friends, is related to moderate use and lower potential for harm. Using cannabis to cope with daily life, deal with unpleasant feelings, or fit in with a social group has higher potential for harm. This is because dealing with these kinds of issues is associated with frequent and heavier use, less thought about potential harms and little consideration of alternatives for coping such as talking with a parent or trusted adult or physical activity with friends. 
 Evidence suggests that the younger a person is when they start using cannabis and the more often they use, the greater the potential for harms. The legal age to use cannabis in BC is 19. However, our brains do not finish developing until about age 25. Delaying cannabis use until early adulthood may reduce potential harmful effects on the brain. 
 Some young people, especially those with many factors predisposing them to serious and persistent mental health issues, should probably not use cannabis. Cannabis has been associated with an increased risk for psychosis and schizophrenia in this small group of people. Some people with serious mental health issues have also reported that using cannabis has helped them cope with their illness by helping them feel less anxious or stressed. As in most situations, balancing potential benefits and harms of using cannabis will be key for young people who have serious mental health concerns. 
 Mixing drugs, such as cannabis and alcohol, can also increase the possibility of experiencing harms. Intoxication may be more intense and long lasting and the young person may not appreciate how impaired they are. We often suggest, ??€?Not too much, not too often, and only in a safe context??€? as a simple way to gauge your use of any psychoactive substance. 
 As a parent or caring adult, an open respectful relationship with a young person is one of your best resources and ways to prevent harms from substance use. Letting the youth know they can approach you at any time to talk about cannabis, other substances, or anything else of concern to them, says they matter to you and you are ready to listen and engage in dialogue with them. This is a great place to begin addressing anything that might come the young person??€?s way in life! 
 The Canadian Institute for Substance Use Research, formerly CARBC, is a member of the BC Partners for Mental Health and Addictions Information. The institute is dedicated to the study of substance use in support of community-wide efforts aimed at providing all people with access to healthier lives, whether using substances or not. For more, visit www.cisur.ca."
What's the difference between mental health and mental illness?,"??€?Mental health??€? and ??€?mental illness??€? are increasingly being used as if they mean the same thing, but they do not. Everyone has mental health, just like everyone has health. As the World Health Organization famously says, ??€?There is no health without mental health.??€? In the course of a lifetime, not all people will experience a mental illness, but everyone will struggle or have a challenge with their mental well-being (i.e., their mental health) just like we all have challenges with our physical well-being from time to time. 
 When we talk about mental health, we??€?re talking about our mental well-being: our emotions, our thoughts and feelings, our ability to solve problems and overcome difficulties, our social connections, and our understanding of the world around us. 
 A mental illness is an illness the affects that way people think, feel, behave, or interact with others. There are many different mental illnesses, and they have different symptoms that impact peoples??€? lives in different ways. 
 Health isn??€?t like an on/off switch. There are different degrees of health. People move on a continuum ranging from great or good health to so-so health to poor health to illness or disability. For example, some people have good health and have no problems going about their lives. Some people experience serious health problems, and their poor health has a very negative impact on their life. Some people have serious health problems that last for a long time, and others have serious health problems that resolve very quickly. Many people fall somewhere in the middle??€?they??€?re generally in good health, though the occasional problem may come up. Mental health is the same way. 
 Just as someone who feels unwell may not have a serious illness, people may have poor mental health without a mental illness. We all have days where we feel a bit down, or stressed out, or overwhelmed by something that??€?s happening in our lives. An important part of good mental health is the ability to look at problems or concerns realistically. Good mental health isn??€?t about feeling happy and confident 100% of time and ignoring any problems. It??€?s about living and coping well despite problems. 
 Just as it??€?s possible to have poor mental health but no mental illness, it??€?s entirely possible to have good mental health even with a diagnosis of a mental illness. That??€?s because mental illnesses (like other health problems) are often episodic, meaning there are times (??€?episodes??€?) of ill health and times of better or good health. 
 With the right supports and tools, anyone can live well??€?however they define well??€?and find meaning, contribute to their communities, and work towards their goals."
Where can I find more information about depression?,"Our info sheets on mood disorders, bipolar disorder, and depression offer information on mood problems, treatment options, and resources in BC. We also offer What is Depression? It??€?s a booklet with audio in plain language for lower literacy readers. You can take a screening self-test for depression (and other mental health concerns). The adult depression tool also screens for signs of bipolar disorder. 
 If you want to go beyond the basics, our Managing Depression series can help you deal with a diagnosis of depression, work with doctor, and prevent relapse of depression. You??€?ll also find many experiences and perspectives around depression??€?reading personal stories can help you feel less alone."
What??€?s the difference between anxiety and an anxiety disorder?,"Anxiety is a normal reaction to many different kinds of events and situations in our lives. Anxiety is one of our internal warning systems that alerts us to danger or other threats and prepares our bodies to fight back or get out of a dangerous situation. (Scientists call this the ??€?fight, flight, or freeze??€? response.) 
 A manageable amount of anxiety from time to time can be helpful. For example, it can motivate you to prepare for a test a school or finish a task at work. Even happy events like moving to a new home or celebrating an important milestone can bring up anxiety??€?all of this is just part of being human. 
 Anxiety is a problem when it becomes overwhelming or unmanageable and it comes up unexpectedly. Anxiety disorders are mental illnesses that have a big impact your life. People may avoid going about their daily lives in order to avoid anxiety. They may experience a lot of uncomfortable physical sensations and physical health problems. Many people say that they know their anxiety isn??€?t based in reality, but they feel ??€?trapped??€? by their thought and feelings. Anxiety disorders can be treated. It??€?s important to seek help if you??€?re concerned about anxiety in your life. 
 Normal anxiety... 
 Is related to a specific situation or problem 
 Lasts only as long as the situation or problem/p> 
 Is proportional to the situation or problem/p> 
 Is a realistic response to a realistic problem or situation/p> 
 When someone experiences an anxiety disorder... 
 Anxiety may come up unexpectedly, for seemingly no reason 
 The anxiety response to a situation or problem may be much stronger that they would expect 
 They may experience a lot of unrealistic anxiety, such as fear of a situation that likely will never happen 
 Anxiety may last for a long time, even when the situation or problem has been resolved 
 Anxiety may feel impossible to control or manage 
 They may avoid situations or things that they believe to trigger anxiety symptoms 
 Here??€?s an example of normal anxiety and an anxiety disorder. Many people are a bit nervous about flying, which is a totally normal reaction. Yet, if they have to travel for work, they can can get on a plane without any problems. Someone with an anxiety disorder, on the other hand, may not be able to travel to the airport??€?even if it puts their job in jeopardy. 
 *Formerly classified as an anxiety disorder and currently classified as Trauma- and Stressor-Related Disorders 
 **Formerly classified as an anxiety disorder and currently classified as Obsessive-Compulsive and Related Disorders"
What's the difference between anxiety and stress?,"Stress and anxiety are often used interchangeably, and there is overlap between stress and anxiety. Stress is related to the same ??€?fight, flight, or freeze??€? response as anxiety, and the physical sensations of anxiety and stress may be very similar. 
 The cause of stress and anxiety are usually different, however. Stress focuses on mainly external pressures on us that we??€?re finding hard to cope with. When we are stressed, we usually know what we??€?re stressed about, and the symptoms of stress typically disappear after the stressful situation is over. 
 Anxiety, on the other hand, isn??€?t always as easy to figure out. Anxiety focuses on worries or fears about things that could threaten us, as well as anxiety about the anxiety itself. Stress and anxiety are both part of being human, but both can be problems if they last for a long time or have an impact on our well-being or daily life."
What's the difference between sadness and depression?,"Sadness is a normal reaction to a loss, disappointment, problems, or other difficult situations. Feeling sad from time to time is just another part of being human. In these cases, feelings of sadness go away quickly and you can go about your daily life. 
 Other ways to talk about sadness might be ??€?feeling low,??€? ??€?feeling down,??€? or ??€?feeling blue.??€? A person may say they are feeling ??€?depressed,??€? but if it goes away on its own and doesn??€?t impact life in a big way, it probably isn??€?t the illness of depression. 
 Depression is a mental illness that affects your mood, the way you understand yourself, and the way you understand and relate to things around you. It can also go by different names, such as clinical depression, major depressive disorder, or major depression. Depression can come up for no reason, and it lasts for a long time. It??€?s much more than sadness or low mood. People who experience depression may feel worthless or hopeless. They may feel unreasonable guilty. Some people may experience depression as anger or irritability. It may be hard to concentrate or make decisions. Most people lose interest in things that they used to enjoy and may isolate themselves from others. There are also physical signs of depression, such as problems with sleep, appetite and energy and unexplainable aches or pains. Some may experience difficult thoughts about death or ending their life (suicide). Depression lasts longer than two weeks, doesn??€?t usually go away on its own, and impacts your life. It??€?s a real illness, and it is very treatable. It??€?s important to seek help if you??€?re concerned about depression."
What is dysthymia or persistent depressive disorder?,"Dysthymia, now called persistent depressive disorder or PDD, is a mood disorder. It is related depression (major depressive disorder). The difference between the two is in the number of symptoms and the amount of time that they last. Someone diagnosed with PDD would experience two to four of the symptoms below for at least two years with no periods of wellness during that time, while someone diagnosed with major depressive disorder would experience five or more of the symptoms below for at least two weeks. 
 Symptoms of PDD include: 
 There is a myth that PDD is not as severe an illness as major depressive disorder, but research shows that the disability of the illness, like the ability to work productively and enjoy hobbies, may be as severe in PDD as it is in major depressive disorder. As PDD involves a smaller number of symptoms that last for a very long time, many people begin to assume PDD is just part of their personality rather than an illness that can be effectively treated. So you should most certainly talk to a doctor or mental health professional if you think you might have PDD."
What is cyclothymic disorder?,"Cyclothymic disorder is a subtype of bipolar disorder. Much like bipolar disorder, the symptoms of cyclothymia include three or more symptoms of hypomania, and five or more symptoms of depression. Like bipolar disorder, people may experience wellness between episodes of hypomania and depression. 
 Symptoms of hypomania include: 
 Symptoms of depression include: 
 Talk to a doctor or mental health professional if you think you might have cyclothymic disorder."
What does rapid cycling mean?,"Rapid cycling means that someone diagnosed with bipolar disorder (or depression) experiences four or more episodes of depression and/or mania in one year. 
 Rapid cycling can happen any time someone experiences bipolar disorder??€?about 10-20% of people diagnosed with bipolar disorder experience rapid cycling at some point. In many cases, rapid cycling eventually goes away on its own and people return to a pattern of longer and less frequent episodes."
Where can I find information and help for borderline personality disorder?,"Borderline personality disorder or BPD is a treatable illness. It??€?s made up of five groups of symptoms around behaviours, emotions, relationships, sense of identity, and awareness. You can read our info sheet on borderline personality disorder. We also have an entire issue of Visions Journal on BPD, where you??€?ll find information on treatments and support and personal stories from people who are managing BPD and living well. 
 The Borderline Personality Disorder Society of BC offers a support group in Victoria and a resource library, and they have a listing of services in BC. 
 In Vancouver, the DBT Centre of Vancouver offer dialectical behaviour therapy (DBT) ad specializes in helping people who experience BPD. The offer individual, group, and family counselling, and they have a useful blog on DBT skills. 
 There are several good, helpful books available now, including:"
What is schizoid personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Schizoid personality disorder or SPD affects social interactions and relationships. People with SPD may have a hard time relating to others and showing emotions. They may avoid close relationships and prefer to spend their time alone, seeming distant even to close family members. Many people don??€?t respond to strong emotions like anger, even when others try to provoke them. On the outside, people with SPD may seem cold or aloof, showing little emotion. 
 While they have a similar name, schizoid personality disorder isn??€?t the same as schizophrenia. 
 Schizoid personality disorder is believed to be relatively uncommon. While some people with SPD may see it as part of who they are, other people may feel a lot of distress, especially around social interactions. Some medications may help people manage symptoms and psychotherapy may help people build new skills and improve relationships. 
 To find help for schizoid personality disorder, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator."
What is antisocial personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Antisocial personality disorder or ASPD affects the way people think about the rights of others. Someone with ASPD may disregard laws or expectations, lack remorse when they hurt others or break the law, make reckless decisions, and believe they are superior to others. People may see someone with ASPD as overly dramatic, impulsive, manipulative, and deceitful. Some people may appear charming, at least on the surface. Like all mental illnesses, antisocial personality disorder is a spectrum. Some people may only occasionally act out, while others may break the law often and spend a lot of time in the criminal justice system. 
 ASPD is only diagnosed in adults, but people with ASPD start to have problems with conduct or antisocial behaviours at a young age. They may be diagnosed with conduct disorder during childhood. 
 Treatment for antisocial personality disorder, usually psychotherapy, can help reduce the harms of ASPD and help people build empathy towards others. ASPD is treatable and it may improve as a person approaches middle age. 
 All of us have hurt someone else or acted without thinking of others' needed. It??€?s important to remember that antisocial personality disorder is an enduring pattern around lack of empathy and lack of remorse. Only a doctor or mental health professional can diagnose illnesses like ASPD. 
 To find help for antisocial personality disorder, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator."
What is obsessive-compulsive personality disorder?,"A personality disorder is a pattern of thoughts, feelings, and behaviours that last for a long time and causes some sort of problem or distress. 
 Obsessive-compulsive personality disorder or OCPD is about control. People with OCPD have very inflexible thinking and expect everything to be ordered, perfect, and done their ""correct"" way. This happens at the expense of other important things in life, including relationships with others. Work can take priority over every other part of life, too, and people with OCPD may seem excessively dedicated, but may be unable to complete tasks due to perfectionism. They may struggle to delegate and may distrust other people??€?s contributions. People with OCPD may not tolerate uncertainty and may have a very rigid understanding of the world??€?something is either right or wrong. They may also have a hard time spending money on themselves or others, and they may experience hoarding, the inability to throw away items from their homes. The conflict between the desire for neatness or order and the inability to throw things out may cause a lot of anxiety. 
 While obsessive-compulsive personality disorder and obsessive-compulsive disorder (OCD) have a similar name, they are not the same illness. People with obsessive-compulsive disorder usually understand that their obsessions and compulsions are illogical and usually experience a lot of distress, even though they may not be able to stop obsessions or compulsions. Compulsions are an attempt to reduce anxiety, not to find pleasure. People with obsessive-compulsive personality disorder may view their thoughts as part of who they are, see their thoughts as logical, and may find pleasure or benefit in completing compulsive tasks. They may experience a lot of distress when they can??€?t achieve control or the perfectionism they want. 
 Obsessive-compulsive personality disorder is one of the most common personality disorders. Treatment may include some combination of psychotherapy, medication, and self-help strategies. To find help for OCPD, talk to your family doctor, find a psychologist through the BC Psychological Association, or call 811 to talk to a HealthLink BC navigator."
What is binge-eating disorder?,"Binge-eating disorder or BED is a type of eating disorder. It involves episodes of eating a lot of food in a short amount of time, past the point of feeling full, and feelings of being out of control or unable to stop eating. People who experience binge-eating disorder may binge even when they don??€?t feel hungry. They may feel temporarily comforted by food, and then feel depressed, upset, guilty, or ashamed of their eating. As a result, many people try to keep binge-eating symptoms a secret. You can??€?t tell if someone experiences binge-eating disorder just from the way they look or the way they eat around others. 
 While a lot of people have the experience of eating too much a few times and feeling uncomfortable after, people who experience binge-eating disorder experience many binges for a long period of time. 
 Binge-eating disorder is treatable. Talk to your doctor or a mental health professional if you think you might have binge-eating disorder."
